Date,Symbol,Open,Close,Low,High
2019-01-01,JINDALSTEL,0.0,161.5,0.0,0.0
2019-01-02,JINDALSTEL,158.5,158.5,158.5,158.5
2019-01-03,JINDALSTEL,153.25,148.7,148.7,153.25
2019-01-04,JINDALSTEL,150.2,150.0,150.0,150.25
2019-01-07,JINDALSTEL,153.65,153.65,153.65,153.65
2019-01-08,JINDALSTEL,158.65,158.65,158.65,158.65
2019-01-09,JINDALSTEL,156.45,153.65,153.5,156.45
2019-01-10,JINDALSTEL,151.0,151.0,151.0,151.0
2019-01-11,JINDALSTEL,151.6,151.6,151.6,151.6
2019-01-14,JINDALSTEL,147.0,146.4,146.0,147.0
2019-01-15,JINDALSTEL,145.55,149.05,145.3,149.4
2019-01-16,JINDALSTEL,148.5,148.5,148.5,148.5
2019-01-17,JINDALSTEL,150.1,147.35,147.35,150.1
2019-01-18,JINDALSTEL,147.45,147.65,147.4,147.85
2019-01-21,JINDALSTEL,148.0,148.0,148.0,148.0
2019-01-22,JINDALSTEL,140.85,138.95,137.4,140.85
2019-01-23,JINDALSTEL,139.45,141.5,139.45,143.5
2019-01-24,JINDALSTEL,138.0,143.25,137.55,143.25
2019-01-25,JINDALSTEL,143.4,139.65,138.0,146.15
2019-01-28,JINDALSTEL,136.25,133.25,131.1,138.5
2019-01-29,JINDALSTEL,133.4,131.4,129.85,133.4
2019-01-30,JINDALSTEL,132.2,131.45,129.05,133.8
2019-01-31,JINDALSTEL,132.85,136.05,129.0,136.35
2019-02-01,JINDALSTEL,134.55,131.25,130.0,138.9
2019-02-04,JINDALSTEL,130.75,131.3,126.6,132.45
2019-02-05,JINDALSTEL,132.95,130.0,128.0,132.95
2019-02-06,JINDALSTEL,131.1,136.65,124.3,137.3
2019-02-07,JINDALSTEL,135.9,137.2,134.0,139.0
2019-02-08,JINDALSTEL,137.2,131.2,130.65,137.2
2019-02-11,JINDALSTEL,130.55,129.8,125.55,132.0
2019-02-12,JINDALSTEL,130.9,142.5,129.4,143.5
2019-02-13,JINDALSTEL,141.1,141.2,139.65,145.6
2019-02-14,JINDALSTEL,141.3,143.75,137.3,144.3
2019-02-15,JINDALSTEL,143.1,139.6,137.6,143.8
2019-02-18,JINDALSTEL,142.85,141.2,140.3,145.0
2019-02-19,JINDALSTEL,141.35,142.35,140.75,145.85
2019-02-20,JINDALSTEL,143.9,151.0,142.8,152.4
2019-02-21,JINDALSTEL,151.0,156.7,149.3,157.55
2019-02-22,JINDALSTEL,156.8,160.3,153.6,161.2
2019-02-25,JINDALSTEL,161.9,160.3,157.4,165.3
2019-02-26,JINDALSTEL,156.25,159.5,154.55,162.6
2019-02-27,JINDALSTEL,161.1,158.65,155.5,163.25
2019-02-28,JINDALSTEL,158.1,157.85,155.5,160.7
2019-03-01,JINDALSTEL,159.0,162.7,158.0,164.15
2019-03-05,JINDALSTEL,162.2,169.05,161.65,169.75
2019-03-06,JINDALSTEL,169.65,166.8,165.0,172.45
2019-03-07,JINDALSTEL,166.85,167.9,163.2,170.4
2019-03-08,JINDALSTEL,166.05,163.55,162.05,166.5
2019-03-11,JINDALSTEL,163.9,171.55,163.9,172.45
2019-03-12,JINDALSTEL,172.8,171.5,169.7,174.25
2019-03-13,JINDALSTEL,172.0,167.9,165.75,172.0
2019-03-14,JINDALSTEL,168.2,165.9,164.65,172.4
2019-03-15,JINDALSTEL,166.7,166.55,164.1,168.0
2019-03-18,JINDALSTEL,168.0,170.25,166.75,171.75
2019-03-19,JINDALSTEL,170.9,169.6,168.6,173.45
2019-03-20,JINDALSTEL,169.0,165.2,161.45,169.05
2019-03-22,JINDALSTEL,165.15,166.85,164.65,170.25
