,Week_Number,Symbol,High,Low
0,1.0,ADANIENT,159.5,0.0
1,1.0,APOLLOTYRE,0.0,0.0
2,1.0,BAJFINANCE,2657.5,0.0
3,1.0,CANBK,284.25,0.0
4,1.0,ESCORTS,715.0,0.0
5,1.0,JINDALSTEL,158.5,0.0
6,1.0,RELIANCE,1141.25,1100.0
7,1.0,TATAMOTORS,176.25,168.0
8,2.0,ADANIENT,0.0,0.0
9,2.0,APOLLOTYRE,0.0,0.0
10,2.0,BAJFINANCE,2628.1,0.0
11,2.0,CANBK,286.0,0.0
12,2.0,ESCORTS,745.0,0.0
13,2.0,JINDALSTEL,158.65,151.0
14,2.0,RELIANCE,1135.0,1104.0
15,2.0,TATAMOTORS,189.4,177.05
16,3.0,ADANIENT,153.25,0.0
17,3.0,APOLLOTYRE,226.45,0.0
18,3.0,BAJFINANCE,2644.1,0.0
19,3.0,CANBK,284.6,0.0
20,3.0,ESCORTS,0.0,0.0
21,3.0,JINDALSTEL,150.1,145.3
22,3.0,RELIANCE,1200.0,1100.0
23,3.0,TATAMOTORS,189.7,180.35
24,4.0,ADANIENT,150.0,139.8
25,4.0,APOLLOTYRE,220.0,0.0
26,4.0,BAJFINANCE,2679.35,2624.0
27,4.0,CANBK,276.0,263.0
28,4.0,ESCORTS,740.0,0.0
29,4.0,JINDALSTEL,148.0,137.4
30,4.0,RELIANCE,1275.5,1201.0
31,4.0,TATAMOTORS,186.1,174.7
32,5.0,ADANIENT,144.35,0.0
33,5.0,APOLLOTYRE,213.0,202.5
34,5.0,BAJFINANCE,2705.9,2389.6
35,5.0,CANBK,262.05,237.0
36,5.0,ESCORTS,713.2,638.0
37,5.0,JINDALSTEL,138.9,129.0
38,5.0,RELIANCE,1267.5,1204.0
39,5.0,TATAMOTORS,187.8,171.15
40,6.0,ADANIENT,139.5,116.3
41,6.0,APOLLOTYRE,208.65,196.0
42,6.0,BAJFINANCE,2758.25,2595.0
43,6.0,CANBK,243.0,228.8
44,6.0,ESCORTS,699.0,659.55
45,6.0,JINDALSTEL,139.0,124.3
46,6.0,RELIANCE,1330.95,1256.55
47,6.0,TATAMOTORS,186.8,130.0
48,7.0,ADANIENT,126.8,0.0
49,7.0,APOLLOTYRE,205.3,198.0
50,7.0,BAJFINANCE,2732.35,2525.0
51,7.0,CANBK,231.6,215.25
52,7.0,ESCORTS,657.0,607.05
53,7.0,JINDALSTEL,145.6,125.55
54,7.0,RELIANCE,1285.55,1225.35
55,7.0,TATAMOTORS,162.75,146.85
56,8.0,ADANIENT,132.45,0.0
57,8.0,APOLLOTYRE,212.7,201.55
58,8.0,BAJFINANCE,2687.05,2534.0
59,8.0,CANBK,226.0,214.7
60,8.0,ESCORTS,667.45,632.0
61,8.0,JINDALSTEL,161.2,140.3
62,8.0,RELIANCE,1265.7,1219.9
63,8.0,TATAMOTORS,175.4,160.15
64,9.0,ADANIENT,136.75,126.65
65,9.0,APOLLOTYRE,221.85,207.5
66,9.0,BAJFINANCE,2709.5,2608.65
67,9.0,CANBK,245.2,214.5
68,9.0,ESCORTS,681.4,637.2
69,9.0,JINDALSTEL,165.3,154.55
70,9.0,RELIANCE,1251.4,1212.0
71,9.0,TATAMOTORS,186.4,173.2
72,10.0,ADANIENT,144.0,132.2
73,10.0,APOLLOTYRE,226.2,212.4
74,10.0,BAJFINANCE,2795.0,2656.5
75,10.0,CANBK,260.0,243.6
76,10.0,ESCORTS,748.35,673.25
77,10.0,JINDALSTEL,172.45,161.65
78,10.0,RELIANCE,1285.7,1224.25
79,10.0,TATAMOTORS,199.3,181.3
80,11.0,ADANIENT,151.15,138.3
81,11.0,APOLLOTYRE,235.1,213.55
82,11.0,BAJFINANCE,2910.0,2762.9
83,11.0,CANBK,271.5,254.55
84,11.0,ESCORTS,813.45,733.2
85,11.0,JINDALSTEL,174.25,163.9
86,11.0,RELIANCE,1366.0,1251.0
87,11.0,TATAMOTORS,187.2,178.1
88,12.0,ADANIENT,146.1,136.0
89,12.0,APOLLOTYRE,224.3,215.0
90,12.0,BAJFINANCE,2971.35,2825.0
91,12.0,CANBK,283.25,262.3
92,12.0,ESCORTS,831.85,779.0
93,12.0,JINDALSTEL,173.45,161.45
94,12.0,RELIANCE,1391.4,1333.85
95,12.0,TATAMOTORS,185.4,175.1
96,13.0,ADANIENT,143.25,131.25
97,13.0,APOLLOTYRE,218.15,210.15
98,13.0,BAJFINANCE,3014.0,2809.65
99,13.0,CANBK,298.85,266.6
100,13.0,ESCORTS,826.9,782.85
101,13.0,JINDALSTEL,168.65,160.6
102,13.0,RELIANCE,1376.8,1320.0
103,13.0,TATAMOTORS,176.0,167.7
104,14.0,ADANIENT,153.5,0.0
105,14.0,APOLLOTYRE,0.0,0.0
106,14.0,BAJFINANCE,3121.15,0.0
107,14.0,CANBK,306.6,0.0
108,14.0,ESCORTS,0.0,0.0
109,14.0,JINDALSTEL,188.0,0.0
110,14.0,RELIANCE,1424.5,1367.3
111,14.0,TATAMOTORS,211.6,180.5
112,15.0,ADANIENT,146.65,0.0
113,15.0,APOLLOTYRE,220.4,0.0
114,15.0,BAJFINANCE,3091.0,0.0
115,15.0,CANBK,290.0,0.0
116,15.0,ESCORTS,0.0,0.0
117,15.0,JINDALSTEL,187.35,0.0
118,15.0,RELIANCE,1373.4,1340.0
119,15.0,TATAMOTORS,222.0,202.7
120,16.0,ADANIENT,146.0,0.0
121,16.0,APOLLOTYRE,223.0,0.0
122,16.0,BAJFINANCE,3074.25,0.0
123,16.0,CANBK,290.35,0.0
124,16.0,ESCORTS,0.0,0.0
125,16.0,JINDALSTEL,185.5,0.0
126,16.0,RELIANCE,1401.75,1351.4
127,16.0,TATAMOTORS,242.0,222.0
128,17.0,ADANIENT,139.35,131.7
129,17.0,APOLLOTYRE,215.7,207.6
130,17.0,BAJFINANCE,3152.95,0.0
131,17.0,CANBK,278.0,271.95
132,17.0,ESCORTS,767.55,742.7
133,17.0,JINDALSTEL,186.3,168.9
134,17.0,RELIANCE,1425.0,1355.55
135,17.0,TATAMOTORS,241.3,216.85
136,18.0,ADANIENT,130.6,127.4
137,18.0,APOLLOTYRE,209.7,203.05
138,18.0,BAJFINANCE,3196.5,3078.3
139,18.0,CANBK,274.0,257.2
140,18.0,ESCORTS,753.0,673.6
141,18.0,JINDALSTEL,185.0,170.15
142,18.0,RELIANCE,1429.4,1383.7
143,18.0,TATAMOTORS,221.15,205.55
144,19.0,ADANIENT,127.4,120.1
145,19.0,APOLLOTYRE,203.95,183.25
146,19.0,BAJFINANCE,3130.7,2920.0
147,19.0,CANBK,271.0,256.65
148,19.0,ESCORTS,677.0,600.0
149,19.0,JINDALSTEL,180.15,163.1
150,19.0,RELIANCE,1414.9,1258.0
151,19.0,TATAMOTORS,207.95,184.85
152,20.0,ADANIENT,124.1,113.45
153,20.0,APOLLOTYRE,190.35,175.85
154,20.0,BAJFINANCE,3344.0,2875.25
155,20.0,CANBK,269.75,238.95
156,20.0,ESCORTS,606.2,551.0
157,20.0,JINDALSTEL,164.0,152.15
158,20.0,RELIANCE,1285.8,1238.0
159,20.0,TATAMOTORS,188.25,169.3
160,21.0,ADANIENT,181.5,129.15
161,21.0,APOLLOTYRE,196.6,180.45
162,21.0,BAJFINANCE,3546.85,3365.4
163,21.0,CANBK,281.75,257.0
164,21.0,ESCORTS,642.7,575.55
165,21.0,JINDALSTEL,170.2,144.55
166,21.0,RELIANCE,1400.9,1305.0
167,21.0,TATAMOTORS,193.5,174.95
168,22.0,ADANIENT,161.25,149.95
169,22.0,APOLLOTYRE,201.2,188.45
170,22.0,BAJFINANCE,3544.1,3410.3
171,22.0,CANBK,287.45,264.2
172,22.0,ESCORTS,653.65,590.8
173,22.0,JINDALSTEL,172.55,156.8
174,22.0,RELIANCE,1348.4,1312.65
175,22.0,TATAMOTORS,186.3,170.6
176,23.0,ADANIENT,162.85,147.4
177,23.0,APOLLOTYRE,200.9,189.9
178,23.0,BAJFINANCE,3564.9,3439.0
179,23.0,CANBK,281.8,257.8
180,23.0,ESCORTS,616.1,570.55
181,23.0,JINDALSTEL,163.35,155.0
182,23.0,RELIANCE,1373.8,1311.3
183,23.0,TATAMOTORS,177.8,167.6
184,24.0,ADANIENT,160.0,147.55
185,24.0,APOLLOTYRE,197.3,184.4
186,24.0,BAJFINANCE,3581.2,3495.0
187,24.0,CANBK,270.85,253.15
188,24.0,ESCORTS,599.7,556.85
189,24.0,JINDALSTEL,171.4,154.25
190,24.0,RELIANCE,1341.9,1312.1
191,24.0,TATAMOTORS,173.5,163.65
192,25.0,ADANIENT,154.0,140.6
193,25.0,APOLLOTYRE,199.0,184.0
194,25.0,BAJFINANCE,3603.6,3455.85
195,25.0,CANBK,273.35,254.5
196,25.0,ESCORTS,560.9,519.6
197,25.0,JINDALSTEL,165.05,142.15
198,25.0,RELIANCE,1319.75,1265.3
199,25.0,TATAMOTORS,164.5,152.5
200,26.0,ADANIENT,155.1,144.55
201,26.0,APOLLOTYRE,204.7,193.9
202,26.0,BAJFINANCE,3661.5,3534.5
203,26.0,CANBK,284.3,269.7
204,26.0,ESCORTS,564.45,525.1
205,26.0,JINDALSTEL,153.35,137.0
206,26.0,RELIANCE,1304.9,1257.25
207,26.0,TATAMOTORS,168.05,156.3
208,27.0,ADANIENT,0.0,0.0
209,27.0,APOLLOTYRE,198.45,0.0
210,27.0,BAJFINANCE,0.0,0.0
211,27.0,CANBK,0.0,0.0
212,27.0,ESCORTS,0.0,0.0
213,27.0,JINDALSTEL,0.0,0.0
214,27.0,RELIANCE,1303.85,1269.0
215,27.0,TATAMOTORS,170.5,162.65
216,28.0,ADANIENT,0.0,0.0
217,28.0,APOLLOTYRE,185.9,0.0
218,28.0,BAJFINANCE,3663.0,3421.0
219,28.0,CANBK,271.4,0.0
220,28.0,ESCORTS,534.75,0.0
221,28.0,JINDALSTEL,0.0,0.0
